name,text
#친일청산 #민주수호 #언론개혁 #검찰개혁,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
uriahheep,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
☘️흐르는 강물처럼☘️,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
포니,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
uriahheep,"RT @righteously_3: 더탐사 가발취재 법원항고기각.🤬
한달에 취재차 두세번 따라간게 스토킹이란얘기….참..대단하다~ https://t.co/cYZqIEbRok"
포니,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
APPLE,@geumchyu_ 시험공부 하느라요…🤬🤬
Zen 문파 아미 승냥이 🦋𝒯𝒽ℯ𝒜𝓈𝓉𝓇ℴ𝓃𝒶𝓊𝓉,@walking0415 김진태. 속에서 열불 나게 하는 세 글자 이름이죠. 아오 진짜 김진태 🤬🤬🤬
Moon Road,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
말이 되는 세상,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
George,"RT @righteously_3: 청담동은 간판없고 찾기쉬운곳이 아니다,
안가수준이라고…청담동안가. 박정희의 안가 정치 부활?🤬🤬🤬"
tapistly,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
김용두#대한민국 대통령 문재인,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
APPLE,@furu__kaza 저정도면 복붙… 성의없다. 🤬🤬
박현수,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
Politics&Me,"RT @righteously_3: 더탐사 가발취재 법원항고기각.🤬
한달에 취재차 두세번 따라간게 스토킹이란얘기….참..대단하다~ https://t.co/cYZqIEbRok"
